"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"10.10.2023","99,8259","99,3225","100,7957","99,3020","","0,51%"
"09.10.2023","99,3225","100,4050","102,2742","98,9158","","-1,07%"
"06.10.2023","100,4014","100,4050","101,4750","99,7411","","0,00%"
"05.10.2023","100,4050","99,5800","100,5484","99,4735","","0,83%"
"04.10.2023","99,5800","99,6125","99,8527","99,2108","","-0,03%"
"03.10.2023","99,6125","99,7650","100,0638","99,0517","","-0,15%"
"02.10.2023","99,7650","97,9675","99,9331","97,9675","","1,83%"
"29.09.2023","97,9675","96,8025","98,0244","96,8025","","1,20%"
"28.09.2023","96,8025","96,9075","97,2762","96,5824","","-0,11%"
"27.09.2023","96,9075","96,3775","96,9075","96,2275","","0,55%"
"26.09.2023","96,3775","96,2350","96,3796","96,0189","","0,15%"
"25.09.2023","96,2350","96,2500","96,5272","95,9266","","-0,02%"
"22.09.2023","96,2500","95,9100","96,2553","95,7923","","0,35%"
"21.09.2023","95,9100","96,1500","96,6300","95,4083","","-0,25%"
"20.09.2023","96,1500","96,8400","96,9225","96,1500","","-0,71%"
"19.09.2023","96,8400","96,5450","97,0000","95,8950","","0,31%"
"18.09.2023","96,5450","96,8100","97,1645","96,2253","","-0,27%"
"15.09.2023","96,8100","97,3400","97,3400","96,1240","","-0,54%"
"14.09.2023","97,3400","96,2250","97,3553","95,6868","","1,16%"
"13.09.2023","96,2250","94,9425","96,5712","94,5975","","1,35%"
"12.09.2023","94,9425","95,0825","95,1962","92,5561","","-0,15%"
"11.09.2023","95,0825","97,7825","97,7825","95,0825","","-2,76%"
